model,strategy,horizon,n,MAE,WAPE,MAPE,directional_accuracy,directional_r2
hgb,direct,1,2304,2.445446548558442,0.20309175028073276,1.2553328246833384,0.4463742943986105,-0.405123723061495
hgb,direct,2,2304,2.6880278931870345,0.22323787447024585,1.4887664939985852,0.48588797221016067,-0.1752962054659586
hgb,direct,3,2304,2.854610507033575,0.23707238442196682,1.832520361936858,0.5036908380373426,-0.06532997524239148
hgb,direct,4,2304,2.961324661683522,0.24593488213648945,1.7359103596978613,0.5054277029960921,-0.06388893998722356
hgb,direct,5,2304,3.0530166877146447,0.25354980795215476,1.792435511254006,0.4854537559704733,-0.04317913604587775
hgb,direct,6,2304,3.102961528945601,0.2576976742095741,1.9439970386110994,0.5141120277898393,-0.043883802802489935
hgb,direct,7,2304,3.1619759922442494,0.2625987629903801,2.053669916515669,0.499348675640469,-0.023961395668831154
hgb,recursive,7,2304,3.550495740859001,0.2948649173298866,1.9960848914340141,0.42205818497611813,0.06009959727940417
rf,direct,1,2304,2.4793533719611967,0.2059076761145583,1.1764922426275075,0.4476769431176726,-0.4795050608014435
rf,direct,2,2304,2.733820597309483,0.22704091013086908,1.382739516756596,0.47416413373860183,-0.1500574864874027
rf,direct,3,2304,2.9000077157403754,0.2408425746064788,1.6291840629179974,0.49240121580547114,-0.05831825438070948
rf,direct,4,2304,3.020524624761524,0.2508513764778414,1.8075029641510594,0.5106382978723404,-0.033112904920223674
rf,direct,5,2304,3.106888712666114,0.2580238226653411,1.8460870002144165,0.49109856708640903,-0.008226528103034703
rf,direct,6,2304,3.1625426141991966,0.2626458203446476,2.107638997831542,0.5041250542770299,-0.030877473890728035
rf,direct,7,2304,3.222403440906757,0.2676171987117015,1.9986548280678673,0.5054277029960921,-0.02078740256014444
rf,recursive,7,2304,9.79794667618732,0.8137091120626538,3.172913389063908,0.4945722970039079,0.05288450854845739
tree,direct,1,2304,2.600262606301399,0.21594906018886173,1.1725686251128384,0.22448979591836735,-0.8010068699911823
tree,direct,2,2304,2.901513147478139,0.24096759912060314,1.5285538291055802,0.16977854971775944,-0.41848597042030633
tree,direct,3,2304,3.142645905187636,0.26099341969808004,1.941073576649658,0.14329135909683022,-0.28911588929978604
tree,direct,4,2304,3.147875426176788,0.26142772588704294,1.8525758945512392,0.10725141120277898,-0.290492473464977
tree,direct,5,2304,3.2971628723250435,0.2738258904476474,1.6744523426239815,0.07859313938341293,-0.1539686767151418
tree,direct,6,2304,3.36495827618137,0.2794562270576571,2.4347675090681538,0.09292227529309596,-0.17501454141890083
tree,direct,7,2304,3.4588150079547777,0.28725092939647007,2.277388537886302,0.09335649153278333,-0.26026826797023905
tree,recursive,7,2304,11.093320796363408,0.921288563140825,2.631081233517383,0.005210594876248371,0.0657306982796485
